Code Department;Code Municipality;Department;Municipality;Longitude;Latitude;TOTAL;Urban Area;Rural Area;;
15;15839;Boyacá;Tutazá;-72.85603548;6.032607903;2040;169;1871;;
15;15842;Boyacá;Umbita;-73.45691657;5.221176201;7530;1019;6511;;
15;15861;Boyacá;Ventaquemada;-73.52237325;5.368733979;15706;2345;13361;;
15;15879;Boyacá;Viracachá;-73.29689965;5.436788535;2837;426;2411;;
15;15897;Boyacá;Zetaquira;-73.16905201;5.282116052;4629;1163;3466;;
17;17001;Caldas;Manizales;-75.49104898;5.057688197;434403;405234;29169;;
17;17013;Caldas;Aguadas;-75.45486967;5.610244456;22823;11532;11291;;
17;17042;Caldas;Anserma;-75.78434266;5.236474391;36149;20284;15865;;
17;17050;Caldas;Aranzazu;-75.49125461;5.271141768;10557;6825;3732;;
17;17088;Caldas;Belalcázar;-75.8119183;4.9937939;10660;4583;6077;;
17;17174;Caldas;Chinchiná;-75.60748073;4.985812862;51271;44570;6701;;
17;17272;Caldas;Filadelfia;-75.56247406;5.29709071;11451;3877;7574;;
17;17380;Caldas;La Dorada;-74.65820562;5.444406098;71905;62536;9369;;
17;17388;Caldas;La Merced;-75.54790789;5.39477941;6003;2151;3852;;
17;17433;Caldas;Manzanares;-75.15282885;5.255720253;17928;10221;7707;;
17;17442;Caldas;Marmato;-75.60024162;5.47400482;8888;964;7924;;
17;17444;Caldas;Marquetalia;-75.05309703;5.297524561;13245;6348;6897;;
17;17446;Caldas;Marulanda;-75.25940253;5.284330464;2607;823;1784;;
17;17486;Caldas;Neira;-75.51984208;5.166705703;21024;11564;9460;;
17;17495;Caldas;Norcasia;-74.88954408;5.574795393;6022;4007;2015;;
